omschrijving;mld_dat;Aantal
Ondernemersgebied             ;01/01/2020;9
Rotterdam                     ;01/01/2020;6
Tilburg                       ;01/01/2020;6
Twente/Achterhoek             ;01/01/2020;1
Veluwe/Flevoland              ;01/01/2020;3
West Brabant/Zeeland          ;01/01/2020;7
Zuid Limburg                  ;01/01/2020;3
Breda                         ;31/12/2019;5
Den Bosch                     ;31/12/2019;4
Eindhoven                     ;31/12/2019;4
Haaglanden                    ;31/12/2019;3
Kempenland                    ;31/12/2019;6
Midden Limburg                ;31/12/2019;3
Midden Nederland              ;31/12/2019;3
Nijmegen                      ;31/12/2019;3
NOORD                         ;31/12/2019;1
Ondernemersgebied             ;31/12/2019;10
Oost Brabant                  ;31/12/2019;1
Rotterdam                     ;31/12/2019;6
Tilburg                       ;31/12/2019;3
Twente/Achterhoek             ;31/12/2019;3
Veluwe/Flevoland              ;31/12/2019;5
West Brabant/Zeeland          ;31/12/2019;6
Zuid Limburg                  ;31/12/2019;8
Arnhem                        ;30/12/2019;4
Breda                         ;30/12/2019;10
Den Bosch                     ;30/12/2019;4
Eindhoven                     ;30/12/2019;7
Haaglanden                    ;30/12/2019;2
Kempenland                    ;30/12/2019;1
Midden Limburg                ;30/12/2019;8
Midden Nederland              ;30/12/2019;6
Nijmegen                      ;30/12/2019;4
NOORD                         ;30/12/2019;1
Ondernemersgebied             ;30/12/2019;11
Oost Brabant                  ;30/12/2019;3
Rotterdam                     ;30/12/2019;7
Tilburg                       ;30/12/2019;5
Twente/Achterhoek             ;30/12/2019;4
Veluwe/Flevoland              ;30/12/2019;4
West Brabant/Zeeland          ;30/12/2019;2
Zuid Limburg                  ;30/12/2019;3
Arnhem                        ;29/12/2019;4
Breda                         ;29/12/2019;1
Den Bosch                     ;29/12/2019;6
Eindhoven                     ;29/12/2019;1
Haaglanden                    ;29/12/2019;6
Kempenland                    ;29/12/2019;1
Midden Limburg                ;29/12/2019;4
Midden Nederland              ;29/12/2019;3
Nijmegen                      ;29/12/2019;5
NOORD                         ;29/12/2019;3
Ondernemersgebied             ;29/12/2019;8
Oost Brabant                  ;29/12/2019;9
Rotterdam                     ;29/12/2019;4
Tilburg                       ;29/12/2019;4
Twente/Achterhoek             ;29/12/2019;4
Veluwe/Flevoland              ;29/12/2019;3
West Brabant/Zeeland          ;29/12/2019;3
Zuid Limburg                  ;29/12/2019;5
Arnhem                        ;28/12/2019;3
Breda                         ;28/12/2019;6
Den Bosch                     ;28/12/2019;4
Eindhoven                     ;28/12/2019;7
Haaglanden                    ;28/12/2019;3
Kempenland                    ;28/12/2019;2
Midden Limburg                ;28/12/2019;3
Midden Nederland              ;28/12/2019;2
Nijmegen                      ;28/12/2019;4
NOORD                         ;28/12/2019;1
Ondernemersgebied             ;28/12/2019;9
Oost Brabant                  ;28/12/2019;3
Rotterdam                     ;28/12/2019;3
Tilburg                       ;28/12/2019;1
Twente/Achterhoek             ;28/12/2019;5
Veluwe/Flevoland              ;28/12/2019;3
West Brabant/Zeeland          ;28/12/2019;5
Zuid Limburg                  ;28/12/2019;6
Arnhem                        ;27/12/2019;8
Breda                         ;27/12/2019;4
Den Bosch                     ;27/12/2019;1
Eindhoven                     ;27/12/2019;9
Haaglanden                    ;27/12/2019;3
Kempenland                    ;27/12/2019;3
Midden Limburg                ;27/12/2019;2
Midden Nederland              ;27/12/2019;3
Nijmegen                      ;27/12/2019;4
NOORD                         ;27/12/2019;2
Ondernemersgebied             ;27/12/2019;6
Oost Brabant                  ;27/12/2019;8
Rotterdam                     ;27/12/2019;11
Tilburg                       ;27/12/2019;5
Twente/Achterhoek             ;27/12/2019;3
Veluwe/Flevoland              ;27/12/2019;2
West Brabant/Zeeland          ;27/12/2019;7
Zuid Limburg                  ;27/12/2019;6
Arnhem                        ;26/12/2019;4
Breda                         ;26/12/2019;5
Den Bosch                     ;26/12/2019;6
Eindhoven                     ;26/12/2019;6
Haaglanden                    ;26/12/2019;1
Kempenland                    ;26/12/2019;2
Midden Limburg                ;26/12/2019;4
Midden Nederland              ;26/12/2019;2
Nijmegen                      ;26/12/2019;3
NOORD                         ;26/12/2019;2
Ondernemersgebied             ;26/12/2019;8
Oost Brabant                  ;26/12/2019;5
Rotterdam                     ;26/12/2019;4
Tilburg                       ;26/12/2019;4
Twente/Achterhoek             ;26/12/2019;5
Veluwe/Flevoland              ;26/12/2019;2
West Brabant/Zeeland          ;26/12/2019;5
Zuid Limburg                  ;26/12/2019;3
Arnhem                        ;25/12/2019;8
Breda                         ;25/12/2019;6
Den Bosch                     ;25/12/2019;1
Eindhoven                     ;25/12/2019;3
Haaglanden                    ;25/12/2019;2
Kempenland                    ;25/12/2019;5
Midden Limburg                ;25/12/2019;4
Midden Nederland              ;25/12/2019;6
Nijmegen                      ;25/12/2019;8
NOORD                         ;25/12/2019;2
Ondernemersgebied             ;25/12/2019;7
Oost Brabant                  ;25/12/2019;2
Rotterdam                     ;25/12/2019;3
Tilburg                       ;25/12/2019;1
Twente/Achterhoek             ;25/12/2019;2
Veluwe/Flevoland              ;25/12/2019;7
West Brabant/Zeeland          ;25/12/2019;6
Zuid Limburg                  ;25/12/2019;5
Arnhem                        ;24/12/2019;5
Breda                         ;24/12/2019;3
Den Bosch                     ;24/12/2019;3
Eindhoven                     ;24/12/2019;6
Haaglanden                    ;24/12/2019;5
Kempenland                    ;24/12/2019;6
Midden Limburg                ;24/12/2019;2
Midden Nederland              ;24/12/2019;1
Nijmegen                      ;24/12/2019;4
NOORD                         ;24/12/2019;2
Ondernemersgebied             ;24/12/2019;9
Oost Brabant                  ;24/12/2019;4
Rotterdam                     ;24/12/2019;4
Tilburg                       ;24/12/2019;3
Twente/Achterhoek             ;24/12/2019;6
Veluwe/Flevoland              ;24/12/2019;6
West Brabant/Zeeland          ;24/12/2019;7
Zuid Limburg                  ;24/12/2019;5
Arnhem                        ;23/12/2019;4
Breda                         ;23/12/2019;5
Den Bosch                     ;23/12/2019;5
Eindhoven                     ;23/12/2019;7
Haaglanden                    ;23/12/2019;10
Kempenland                    ;23/12/2019;4
Midden Limburg                ;23/12/2019;9
Midden Nederland              ;23/12/2019;4
Nijmegen                      ;23/12/2019;3
NOORD                         ;23/12/2019;1
Ondernemersgebied             ;23/12/2019;13
Oost Brabant                  ;23/12/2019;1
Rotterdam                     ;23/12/2019;4
Tilburg                       ;23/12/2019;5
Twente/Achterhoek             ;23/12/2019;2
Veluwe/Flevoland              ;23/12/2019;3
West Brabant/Zeeland          ;23/12/2019;2
Zuid Limburg                  ;23/12/2019;4
Arnhem                        ;22/12/2019;3
Breda                         ;22/12/2019;9
Den Bosch                     ;22/12/2019;3
Eindhoven                     ;22/12/2019;3
Haaglanden                    ;22/12/2019;5
Kempenland                    ;22/12/2019;4
Midden Limburg                ;22/12/2019;4
Midden Nederland              ;22/12/2019;3
Nijmegen                      ;22/12/2019;5
NOORD                         ;22/12/2019;2
Ondernemersgebied             ;22/12/2019;13
Oost Brabant                  ;22/12/2019;4
Rotterdam                     ;22/12/2019;2
Tilburg                       ;22/12/2019;4
Twente/Achterhoek             ;22/12/2019;8
Veluwe/Flevoland              ;22/12/2019;2
West Brabant/Zeeland          ;22/12/2019;5
Zuid Limburg                  ;22/12/2019;4
Arnhem                        ;21/12/2019;2
Breda                         ;21/12/2019;6
Den Bosch                     ;21/12/2019;6
Eindhoven                     ;21/12/2019;5
Haaglanden                    ;21/12/2019;6
Kempenland                    ;21/12/2019;4
Midden Limburg                ;21/12/2019;2
Midden Nederland              ;21/12/2019;6
Nijmegen                      ;21/12/2019;2
NOORD                         ;21/12/2019;1
Ondernemersgebied             ;21/12/2019;6
Oost Brabant                  ;21/12/2019;8
Rotterdam                     ;21/12/2019;4
Tilburg                       ;21/12/2019;9
Twente/Achterhoek             ;21/12/2019;4
Veluwe/Flevoland              ;21/12/2019;5
West Brabant/Zeeland          ;21/12/2019;5
Zuid Limburg                  ;21/12/2019;3
Arnhem                        ;20/12/2019;2
Breda                         ;20/12/2019;2
Den Bosch                     ;20/12/2019;5
Eindhoven                     ;20/12/2019;6
Haaglanden                    ;20/12/2019;4
Kempenland                    ;20/12/2019;3
Midden Limburg                ;20/12/2019;8
Midden Nederland              ;20/12/2019;5
Nijmegen                      ;20/12/2019;5
NOORD                         ;20/12/2019;4
Ondernemersgebied             ;20/12/2019;7
Oost Brabant                  ;20/12/2019;5
Rotterdam                     ;20/12/2019;5
Tilburg                       ;20/12/2019;7
Twente/Achterhoek             ;20/12/2019;5
Veluwe/Flevoland              ;20/12/2019;2
West Brabant/Zeeland          ;20/12/2019;9
Zuid Limburg                  ;20/12/2019;9
Arnhem                        ;19/12/2019;8
Breda                         ;19/12/2019;7
Den Bosch                     ;19/12/2019;3
Eindhoven                     ;19/12/2019;8
Haaglanden                    ;19/12/2019;6
Kempenland                    ;19/12/2019;4
Midden Limburg                ;19/12/2019;2
Midden Nederland              ;19/12/2019;5
Nijmegen                      ;19/12/2019;4
NOORD                         ;19/12/2019;2
Ondernemersgebied             ;19/12/2019;9
Oost Brabant                  ;19/12/2019;1
Rotterdam                     ;19/12/2019;2
Tilburg                       ;19/12/2019;8
Twente/Achterhoek             ;19/12/2019;4
Veluwe/Flevoland              ;19/12/2019;7
West Brabant/Zeeland          ;19/12/2019;3
Zuid Limburg                  ;19/12/2019;5
Arnhem                        ;18/12/2019;4
Breda                         ;18/12/2019;3
Den Bosch                     ;18/12/2019;5
Eindhoven                     ;18/12/2019;4
Haaglanden                    ;18/12/2019;3
Kempenland                    ;18/12/2019;4
Midden Limburg                ;18/12/2019;4
Midden Nederland              ;18/12/2019;3
Nijmegen                      ;18/12/2019;3
NOORD                         ;18/12/2019;2
Ondernemersgebied             ;18/12/2019;8
Oost Brabant                  ;18/12/2019;6
Rotterdam                     ;18/12/2019;4
Tilburg                       ;18/12/2019;5
Twente/Achterhoek             ;18/12/2019;4
Veluwe/Flevoland              ;18/12/2019;1
West Brabant/Zeeland          ;18/12/2019;4
Zuid Limburg                  ;18/12/2019;6
Arnhem                        ;17/12/2019;5
Breda                         ;17/12/2019;5
Den Bosch                     ;17/12/2019;5
Eindhoven                     ;17/12/2019;8
Haaglanden                    ;17/12/2019;1
Kempenland                    ;17/12/2019;5
Midden Limburg                ;17/12/2019;6
Midden Nederland              ;17/12/2019;7
Nijmegen                      ;17/12/2019;6
NOORD                         ;17/12/2019;2
Ondernemersgebied             ;17/12/2019;12
Oost Brabant                  ;17/12/2019;9
Rotterdam                     ;17/12/2019;5
Tilburg                       ;17/12/2019;9
Twente/Achterhoek             ;17/12/2019;10
Veluwe/Flevoland              ;17/12/2019;1
West Brabant/Zeeland          ;17/12/2019;7
Zuid Limburg                  ;17/12/2019;10
Arnhem                        ;16/12/2019;4
Breda                         ;16/12/2019;6
Den Bosch                     ;16/12/2019;4
Eindhoven                     ;16/12/2019;7
Haaglanden                    ;16/12/2019;3
Kempenland                    ;16/12/2019;7
Midden Limburg                ;16/12/2019;5
Midden Nederland              ;16/12/2019;3
Nijmegen                      ;16/12/2019;2
NOORD                         ;16/12/2019;2
Ondernemersgebied             ;16/12/2019;11
Oost Brabant                  ;16/12/2019;3
Rotterdam                     ;16/12/2019;6
Tilburg                       ;16/12/2019;3
Twente/Achterhoek             ;16/12/2019;3
Veluwe/Flevoland              ;16/12/2019;7
West Brabant/Zeeland          ;16/12/2019;2
Zuid Limburg                  ;16/12/2019;4
Arnhem                        ;15/12/2019;4
Breda                         ;15/12/2019;5
Den Bosch                     ;15/12/2019;2
Eindhoven                     ;15/12/2019;3
Haaglanden                    ;15/12/2019;5
Kempenland                    ;15/12/2019;4
Midden Nederland              ;15/12/2019;3
Nijmegen                      ;15/12/2019;3
NOORD                         ;15/12/2019;2
Ondernemersgebied             ;15/12/2019;8
Oost Brabant                  ;15/12/2019;5
Rotterdam                     ;15/12/2019;8
Tilburg                       ;15/12/2019;4
Twente/Achterhoek             ;15/12/2019;5
Veluwe/Flevoland              ;15/12/2019;6
West Brabant/Zeeland          ;15/12/2019;4
Zuid Limburg                  ;15/12/2019;5
Arnhem                        ;14/12/2019;6
Breda                         ;14/12/2019;2
Den Bosch                     ;14/12/2019;5
Eindhoven                     ;14/12/2019;8
Haaglanden                    ;14/12/2019;2
Kempenland                    ;14/12/2019;2
Midden Limburg                ;14/12/2019;4
Midden Nederland              ;14/12/2019;2
Nijmegen                      ;14/12/2019;5
NOORD                         ;14/12/2019;1
Ondernemersgebied             ;14/12/2019;11
Oost Brabant                  ;14/12/2019;3
Rotterdam                     ;14/12/2019;2
Tilburg                       ;14/12/2019;6
Twente/Achterhoek             ;14/12/2019;5
Veluwe/Flevoland              ;14/12/2019;5
West Brabant/Zeeland          ;14/12/2019;3
Zuid Limburg                  ;14/12/2019;5
Arnhem                        ;13/12/2019;4
Breda                         ;13/12/2019;5
Den Bosch                     ;13/12/2019;8
Eindhoven                     ;13/12/2019;3
Haaglanden                    ;13/12/2019;1
Kempenland                    ;13/12/2019;4
Midden Limburg                ;13/12/2019;6
Midden Nederland              ;13/12/2019;2
Nijmegen                      ;13/12/2019;4
Ondernemersgebied             ;13/12/2019;11
Oost Brabant                  ;13/12/2019;4
Rotterdam                     ;13/12/2019;4
Tilburg                       ;13/12/2019;9
Twente/Achterhoek             ;13/12/2019;4
Veluwe/Flevoland              ;13/12/2019;4
Zuid Limburg                  ;13/12/2019;4
Arnhem                        ;12/12/2019;5
Breda                         ;12/12/2019;6
Den Bosch                     ;12/12/2019;3
Eindhoven                     ;12/12/2019;3
Haaglanden                    ;12/12/2019;1
Kempenland                    ;12/12/2019;4
Midden Limburg                ;12/12/2019;5
Midden Nederland              ;12/12/2019;5
Nijmegen                      ;12/12/2019;5
NOORD                         ;12/12/2019;2
Ondernemersgebied             ;12/12/2019;17
Oost Brabant                  ;12/12/2019;4
Rotterdam                     ;12/12/2019;3
Tilburg                       ;12/12/2019;3
Twente/Achterhoek             ;12/12/2019;5
Veluwe/Flevoland              ;12/12/2019;3
West Brabant/Zeeland          ;12/12/2019;5
Zuid Limburg                  ;12/12/2019;3
Arnhem                        ;11/12/2019;7
Breda                         ;11/12/2019;5
Den Bosch                     ;11/12/2019;8
Eindhoven                     ;11/12/2019;7
Haaglanden                    ;11/12/2019;3
Kempenland                    ;11/12/2019;8
Midden Limburg                ;11/12/2019;5
Midden Nederland              ;11/12/2019;4
Nijmegen                      ;11/12/2019;5
NOORD                         ;11/12/2019;1
Ondernemersgebied             ;11/12/2019;10
Oost Brabant                  ;11/12/2019;1
Rotterdam                     ;11/12/2019;5
Tilburg                       ;11/12/2019;5
Twente/Achterhoek             ;11/12/2019;5
West Brabant/Zeeland          ;11/12/2019;2
Zuid Limburg                  ;11/12/2019;4
Arnhem                        ;10/12/2019;5
Breda                         ;10/12/2019;6
Den Bosch                     ;10/12/2019;2
Eindhoven                     ;10/12/2019;5
Haaglanden                    ;10/12/2019;6
Kempenland                    ;10/12/2019;3
Midden Limburg                ;10/12/2019;5
Midden Nederland              ;10/12/2019;3
Nijmegen                      ;10/12/2019;9
NOORD                         ;10/12/2019;2
Ondernemersgebied             ;10/12/2019;12
Oost Brabant                  ;10/12/2019;4
Rotterdam                     ;10/12/2019;6
Tilburg                       ;10/12/2019;3
Twente/Achterhoek             ;10/12/2019;1
Veluwe/Flevoland              ;10/12/2019;3
West Brabant/Zeeland          ;10/12/2019;7
Zuid Limburg                  ;10/12/2019;6
Arnhem                        ;09/12/2019;3
Breda                         ;09/12/2019;2
Den Bosch                     ;09/12/2019;4
Eindhoven                     ;09/12/2019;5
Haaglanden                    ;09/12/2019;1
Kempenland                    ;09/12/2019;5
Midden Limburg                ;09/12/2019;3
Midden Nederland              ;09/12/2019;4
Nijmegen                      ;09/12/2019;5
NOORD                         ;09/12/2019;3
Ondernemersgebied             ;09/12/2019;12
Rotterdam                     ;09/12/2019;4
Tilburg                       ;09/12/2019;2
Twente/Achterhoek             ;09/12/2019;6
Veluwe/Flevoland              ;09/12/2019;3
West Brabant/Zeeland          ;09/12/2019;8
Zuid Limburg                  ;09/12/2019;3
Arnhem                        ;08/12/2019;4
Breda                         ;08/12/2019;3
Den Bosch                     ;08/12/2019;4
Eindhoven                     ;08/12/2019;8
Haaglanden                    ;08/12/2019;1
Kempenland                    ;08/12/2019;8
Midden Limburg                ;08/12/2019;2
Midden Nederland              ;08/12/2019;2
Nijmegen                      ;08/12/2019;6
NOORD                         ;08/12/2019;1
Ondernemersgebied             ;08/12/2019;12
Oost Brabant                  ;08/12/2019;2
Rotterdam                     ;08/12/2019;4
Tilburg                       ;08/12/2019;5
Twente/Achterhoek             ;08/12/2019;2
Veluwe/Flevoland              ;08/12/2019;3
West Brabant/Zeeland          ;08/12/2019;2
Zuid Limburg                  ;08/12/2019;6
Arnhem                        ;07/12/2019;5
Breda                         ;07/12/2019;5
Den Bosch                     ;07/12/2019;5
Eindhoven                     ;07/12/2019;6
Haaglanden                    ;07/12/2019;3
Kempenland                    ;07/12/2019;6
Midden Limburg                ;07/12/2019;3
Midden Nederland              ;07/12/2019;2
Nijmegen                      ;07/12/2019;4
NOORD                         ;07/12/2019;1
Ondernemersgebied             ;07/12/2019;14
Oost Brabant                  ;07/12/2019;1
Rotterdam                     ;07/12/2019;2
Tilburg                       ;07/12/2019;7
Twente/Achterhoek             ;07/12/2019;4
Veluwe/Flevoland              ;07/12/2019;2
West Brabant/Zeeland          ;07/12/2019;6
Zuid Limburg                  ;07/12/2019;4
Arnhem                        ;06/12/2019;4
Breda                         ;06/12/2019;9
Den Bosch                     ;06/12/2019;6
Eindhoven                     ;06/12/2019;10
Haaglanden                    ;06/12/2019;3
Kempenland                    ;06/12/2019;6
Midden Limburg                ;06/12/2019;4
Midden Nederland              ;06/12/2019;5
Nijmegen                      ;06/12/2019;6
NOORD                         ;06/12/2019;1
Ondernemersgebied             ;06/12/2019;7
Oost Brabant                  ;06/12/2019;2
Rotterdam                     ;06/12/2019;3
Tilburg                       ;06/12/2019;7
Twente/Achterhoek             ;06/12/2019;7
Veluwe/Flevoland              ;06/12/2019;4
West Brabant/Zeeland          ;06/12/2019;10
Zuid Limburg                  ;06/12/2019;5
Arnhem                        ;05/12/2019;5
Breda                         ;05/12/2019;13
Den Bosch                     ;05/12/2019;2
Eindhoven                     ;05/12/2019;7
Haaglanden                    ;05/12/2019;4
Kempenland                    ;05/12/2019;6
Midden Limburg                ;05/12/2019;4
Midden Nederland              ;05/12/2019;3
Nijmegen                      ;05/12/2019;8
NOORD                         ;05/12/2019;2
Ondernemersgebied             ;05/12/2019;10
Oost Brabant                  ;05/12/2019;3
Rotterdam                     ;05/12/2019;2
Tilburg                       ;05/12/2019;4
Twente/Achterhoek             ;05/12/2019;2
Veluwe/Flevoland              ;05/12/2019;7
West Brabant/Zeeland          ;05/12/2019;3
Zuid Limburg                  ;05/12/2019;4
Arnhem                        ;04/12/2019;4
Breda                         ;04/12/2019;7
Den Bosch                     ;04/12/2019;1
Eindhoven                     ;04/12/2019;4
Haaglanden                    ;04/12/2019;1
Kempenland                    ;04/12/2019;3
Midden Limburg                ;04/12/2019;6
Midden Nederland              ;04/12/2019;5
Nijmegen                      ;04/12/2019;11
NOORD                         ;04/12/2019;3
Ondernemersgebied             ;04/12/2019;8
Oost Brabant                  ;04/12/2019;3
Rotterdam                     ;04/12/2019;8
Tilburg                       ;04/12/2019;4
Twente/Achterhoek             ;04/12/2019;4
Veluwe/Flevoland              ;04/12/2019;3
West Brabant/Zeeland          ;04/12/2019;2
Zuid Limburg                  ;04/12/2019;4
Arnhem                        ;03/12/2019;5
Breda                         ;03/12/2019;4
Den Bosch                     ;03/12/2019;3
Eindhoven                     ;03/12/2019;3
Haaglanden                    ;03/12/2019;2
Kempenland                    ;03/12/2019;8
Midden Nederland              ;03/12/2019;3
Nijmegen                      ;03/12/2019;2
Ondernemersgebied             ;03/12/2019;5
Oost Brabant                  ;03/12/2019;5
Rotterdam                     ;03/12/2019;5
Tilburg                       ;03/12/2019;5
Twente/Achterhoek             ;03/12/2019;5
Veluwe/Flevoland              ;03/12/2019;4
West Brabant/Zeeland          ;03/12/2019;4
Zuid Limburg                  ;03/12/2019;7
Arnhem                        ;02/12/2019;4
Breda                         ;02/12/2019;6
Den Bosch                     ;02/12/2019;3
Eindhoven                     ;02/12/2019;5
Haaglanden                    ;02/12/2019;2
Kempenland                    ;02/12/2019;5
Midden Limburg                ;02/12/2019;4
Midden Nederland              ;02/12/2019;4
Nijmegen                      ;02/12/2019;3
NOORD                         ;02/12/2019;4
Ondernemersgebied             ;02/12/2019;14
Oost Brabant                  ;02/12/2019;1
Rotterdam                     ;02/12/2019;4
Tilburg                       ;02/12/2019;1
Twente/Achterhoek             ;02/12/2019;3
Veluwe/Flevoland              ;02/12/2019;1
West Brabant/Zeeland          ;02/12/2019;3
Zuid Limburg                  ;02/12/2019;7
Arnhem                        ;01/12/2019;3
Breda                         ;01/12/2019;7
Den Bosch                     ;01/12/2019;4
Eindhoven                     ;01/12/2019;9
Haaglanden                    ;01/12/2019;1
Kempenland                    ;01/12/2019;3
Midden Limburg                ;01/12/2019;2
Midden Nederland              ;01/12/2019;2
Nijmegen                      ;01/12/2019;2
NOORD                         ;01/12/2019;1
Ondernemersgebied             ;01/12/2019;13
Oost Brabant                  ;01/12/2019;4
Rotterdam                     ;01/12/2019;5
Tilburg                       ;01/12/2019;4
Twente/Achterhoek             ;01/12/2019;3
Veluwe/Flevoland              ;01/12/2019;6
Arnhem                        ;30/11/2019;5
Breda                         ;30/11/2019;9
Den Bosch                     ;30/11/2019;3
Eindhoven                     ;30/11/2019;2
Haaglanden                    ;30/11/2019;3
Kempenland                    ;30/11/2019;4
Midden Limburg                ;30/11/2019;9
Midden Nederland              ;30/11/2019;3
Nijmegen                      ;30/11/2019;2
Ondernemersgebied             ;30/11/2019;17
Oost Brabant                  ;30/11/2019;3
Rotterdam                     ;30/11/2019;2
Tilburg                       ;30/11/2019;5
Twente/Achterhoek             ;30/11/2019;3
Veluwe/Flevoland              ;30/11/2019;6
West Brabant/Zeeland          ;30/11/2019;3
Zuid Limburg                  ;30/11/2019;4
Arnhem                        ;29/11/2019;4
Breda                         ;29/11/2019;4
Den Bosch                     ;29/11/2019;3
Eindhoven                     ;29/11/2019;6
Haaglanden                    ;29/11/2019;4
Kempenland                    ;29/11/2019;2
Midden Limburg                ;29/11/2019;6
Midden Nederland              ;29/11/2019;2
Nijmegen                      ;29/11/2019;5
NOORD                         ;29/11/2019;2
Ondernemersgebied             ;29/11/2019;11
Oost Brabant                  ;29/11/2019;5
Rotterdam                     ;29/11/2019;4
Tilburg                       ;29/11/2019;5
Twente/Achterhoek             ;29/11/2019;5
Veluwe/Flevoland              ;29/11/2019;5
West Brabant/Zeeland          ;29/11/2019;1
Zuid Limburg                  ;29/11/2019;9
Arnhem                        ;28/11/2019;6
Breda                         ;28/11/2019;3
Den Bosch                     ;28/11/2019;3
Eindhoven                     ;28/11/2019;4
Haaglanden                    ;28/11/2019;3
Kempenland                    ;28/11/2019;4
Midden Limburg                ;28/11/2019;3
Midden Nederland              ;28/11/2019;3
Nijmegen                      ;28/11/2019;3
NOORD                         ;28/11/2019;1
Ondernemersgebied             ;28/11/2019;14
Oost Brabant                  ;28/11/2019;3
Rotterdam                     ;28/11/2019;2
Tilburg                       ;28/11/2019;4
Twente/Achterhoek             ;28/11/2019;3
Veluwe/Flevoland              ;28/11/2019;1
West Brabant/Zeeland          ;28/11/2019;5
Zuid Limburg                  ;28/11/2019;6
Arnhem                        ;27/11/2019;8
Breda                         ;27/11/2019;5
Den Bosch                     ;27/11/2019;4
Eindhoven                     ;27/11/2019;7
Haaglanden                    ;27/11/2019;5
Kempenland                    ;27/11/2019;3
Midden Limburg                ;27/11/2019;3
Midden Nederland              ;27/11/2019;7
Nijmegen                      ;27/11/2019;4
NOORD                         ;27/11/2019;2
Ondernemersgebied             ;27/11/2019;12
Oost Brabant                  ;27/11/2019;5
Rotterdam                     ;27/11/2019;3
Tilburg                       ;27/11/2019;3
Twente/Achterhoek             ;27/11/2019;3
Veluwe/Flevoland              ;27/11/2019;4
West Brabant/Zeeland          ;27/11/2019;9
Arnhem                        ;26/11/2019;2
Breda                         ;26/11/2019;3
Den Bosch                     ;26/11/2019;1
Eindhoven                     ;26/11/2019;4
Haaglanden                    ;26/11/2019;7
Kempenland                    ;26/11/2019;6
Midden Limburg                ;26/11/2019;9
Midden Nederland              ;26/11/2019;3
Nijmegen                      ;26/11/2019;7
NOORD                         ;26/11/2019;4
Ondernemersgebied             ;26/11/2019;11
Oost Brabant                  ;26/11/2019;4
Rotterdam                     ;26/11/2019;2
Tilburg                       ;26/11/2019;6
Veluwe/Flevoland              ;26/11/2019;1
West Brabant/Zeeland          ;26/11/2019;7
Zuid Limburg                  ;26/11/2019;9
Arnhem                        ;25/11/2019;4
Breda                         ;25/11/2019;2
Den Bosch                     ;25/11/2019;4
Eindhoven                     ;25/11/2019;6
Haaglanden                    ;25/11/2019;2
Kempenland                    ;25/11/2019;1
Midden Limburg                ;25/11/2019;3
Midden Nederland              ;25/11/2019;1
Nijmegen                      ;25/11/2019;7
NOORD                         ;25/11/2019;2
Ondernemersgebied             ;25/11/2019;10
Oost Brabant                  ;25/11/2019;4
Rotterdam                     ;25/11/2019;3
Tilburg                       ;25/11/2019;1
Twente/Achterhoek             ;25/11/2019;6
Veluwe/Flevoland              ;25/11/2019;5
West Brabant/Zeeland          ;25/11/2019;4
Zuid Limburg                  ;25/11/2019;5
Arnhem                        ;24/11/2019;6
Den Bosch                     ;24/11/2019;6
Eindhoven                     ;24/11/2019;5
Haaglanden                    ;24/11/2019;1
Kempenland                    ;24/11/2019;4
Midden Limburg                ;24/11/2019;6
Midden Nederland              ;24/11/2019;3
Nijmegen                      ;24/11/2019;7
Ondernemersgebied             ;24/11/2019;8
Oost Brabant                  ;24/11/2019;2
Rotterdam                     ;24/11/2019;7
Tilburg                       ;24/11/2019;4
Twente/Achterhoek             ;24/11/2019;3
Veluwe/Flevoland              ;24/11/2019;1
West Brabant/Zeeland          ;24/11/2019;4
Zuid Limburg                  ;24/11/2019;6
Arnhem                        ;23/11/2019;3
Breda                         ;23/11/2019;5
Den Bosch                     ;23/11/2019;5
Eindhoven                     ;23/11/2019;3
Haaglanden                    ;23/11/2019;4
Kempenland                    ;23/11/2019;3
Midden Limburg                ;23/11/2019;5
Midden Nederland              ;23/11/2019;4
Nijmegen                      ;23/11/2019;5
NOORD                         ;23/11/2019;2
Ondernemersgebied             ;23/11/2019;6
Oost Brabant                  ;23/11/2019;6
Rotterdam                     ;23/11/2019;2
Tilburg                       ;23/11/2019;3
Twente/Achterhoek             ;23/11/2019;4
Veluwe/Flevoland              ;23/11/2019;3
West Brabant/Zeeland          ;23/11/2019;4
Zuid Limburg                  ;23/11/2019;3
Breda                         ;22/11/2019;2
Den Bosch                     ;22/11/2019;6
Eindhoven                     ;22/11/2019;9
Haaglanden                    ;22/11/2019;3
Kempenland                    ;22/11/2019;8
Midden Limburg                ;22/11/2019;4
Midden Nederland              ;22/11/2019;1
Nijmegen                      ;22/11/2019;3
NOORD                         ;22/11/2019;1
Ondernemersgebied             ;22/11/2019;12
Oost Brabant                  ;22/11/2019;3
Rotterdam                     ;22/11/2019;5
Tilburg                       ;22/11/2019;4
Twente/Achterhoek             ;22/11/2019;5
Veluwe/Flevoland              ;22/11/2019;6
West Brabant/Zeeland          ;22/11/2019;6
Zuid Limburg                  ;22/11/2019;2
Arnhem                        ;21/11/2019;7
Breda                         ;21/11/2019;6
Den Bosch                     ;21/11/2019;3
Eindhoven                     ;21/11/2019;13
Haaglanden                    ;21/11/2019;7
Kempenland                    ;21/11/2019;3
Midden Limburg                ;21/11/2019;3
Midden Nederland              ;21/11/2019;2
