omschrijving;mld_dat;Aantal
Eindhoven                     ;23/12/2020;8
Haaglanden                    ;23/12/2020;3
Kempenland                    ;23/12/2020;2
Midden Limburg                ;23/12/2020;7
Midden Nederland              ;23/12/2020;11
Nijmegen                      ;23/12/2020;3
NOORD                         ;23/12/2020;2
Ondernemersgebied             ;23/12/2020;12
Oost Brabant                  ;23/12/2020;6
Rotterdam                     ;23/12/2020;4
Tilburg                       ;23/12/2020;5
Twente/Achterhoek             ;23/12/2020;6
Veluwe-IJssel                 ;23/12/2020;2
West Brabant/Zeeland          ;23/12/2020;8
Zuid Limburg                  ;23/12/2020;4
Arnhem                        ;22/12/2020;4
Breda                         ;22/12/2020;5
Den Bosch                     ;22/12/2020;7
Eindhoven                     ;22/12/2020;5
Haaglanden                    ;22/12/2020;4
Kempenland                    ;22/12/2020;4
Midden Limburg                ;22/12/2020;10
Midden Nederland              ;22/12/2020;7
Nijmegen                      ;22/12/2020;4
NOORD                         ;22/12/2020;3
Ondernemersgebied             ;22/12/2020;11
Oost Brabant                  ;22/12/2020;4
Rotterdam                     ;22/12/2020;5
Tilburg                       ;22/12/2020;10
Twente/Achterhoek             ;22/12/2020;11
Veluwe-IJssel                 ;22/12/2020;6
West Brabant/Zeeland          ;22/12/2020;5
Zuid Limburg                  ;22/12/2020;8
Arnhem                        ;21/12/2020;11
Breda                         ;21/12/2020;4
Den Bosch                     ;21/12/2020;4
Eindhoven                     ;21/12/2020;4
Haaglanden                    ;21/12/2020;1
Kempenland                    ;21/12/2020;6
Midden Limburg                ;21/12/2020;6
Midden Nederland              ;21/12/2020;5
Nijmegen                      ;21/12/2020;6
NOORD                         ;21/12/2020;7
Ondernemersgebied             ;21/12/2020;10
Rotterdam                     ;21/12/2020;9
Tilburg                       ;21/12/2020;10
Twente/Achterhoek             ;21/12/2020;3
Veluwe-IJssel                 ;21/12/2020;1
West Brabant/Zeeland          ;21/12/2020;6
Zuid Limburg                  ;21/12/2020;5
Arnhem                        ;20/12/2020;8
Breda                         ;20/12/2020;5
Den Bosch                     ;20/12/2020;9
Eindhoven                     ;20/12/2020;3
Haaglanden                    ;20/12/2020;3
Kempenland                    ;20/12/2020;8
Midden Limburg                ;20/12/2020;5
Midden Nederland              ;20/12/2020;6
Nijmegen                      ;20/12/2020;5
NOORD                         ;20/12/2020;5
Ondernemersgebied             ;20/12/2020;5
Oost Brabant                  ;20/12/2020;7
Rotterdam                     ;20/12/2020;5
Tilburg                       ;20/12/2020;4
Twente/Achterhoek             ;20/12/2020;8
Veluwe-IJssel                 ;20/12/2020;2
West Brabant/Zeeland          ;20/12/2020;1
Zuid Limburg                  ;20/12/2020;7
Arnhem                        ;19/12/2020;3
Breda                         ;19/12/2020;8
Den Bosch                     ;19/12/2020;6
Eindhoven                     ;19/12/2020;6
Haaglanden                    ;19/12/2020;7
Kempenland                    ;19/12/2020;3
Midden Limburg                ;19/12/2020;4
Midden Nederland              ;19/12/2020;10
Nijmegen                      ;19/12/2020;9
NOORD                         ;19/12/2020;3
Ondernemersgebied             ;19/12/2020;10
Oost Brabant                  ;19/12/2020;2
Rotterdam                     ;19/12/2020;3
Tilburg                       ;19/12/2020;10
Twente/Achterhoek             ;19/12/2020;5
Veluwe-IJssel                 ;19/12/2020;2
West Brabant/Zeeland          ;19/12/2020;7
Zuid Limburg                  ;19/12/2020;5
Arnhem                        ;18/12/2020;3
Breda                         ;18/12/2020;6
Den Bosch                     ;18/12/2020;3
Eindhoven                     ;18/12/2020;6
